RSPO szkoły,* liczba zdających.2,* zdawalność (%).3,średni wynik (%).2
71115,80.0,100.0,80.05
105877,29.0,100.0,87.79310344827586
7948,110.0,99.0909090909091,81.70642201834862
8104,23.0,76.19047619047619,60.34782608695652
8103,5.0,80.0,39.4
61577,16.0,93.75,77.8125
34972,3.0,,
34318,183.0,100.0,90.30054644808743
34319,86.0,100.0,80.33720930232558
15670,54.0,100.0,69.5
17188,149.0,100.0,88.75838926174497
66445,21.0,100.0,75.04761904761905
20703,154.0,99.34640522875817,81.34415584415585
23638,19.0,100.0,67.89473684210526
121959,31.0,80.0,59.45161290322581
17160,57.0,98.24561403508771,75.57894736842105
278069,1.0,,
2884,43.0,100.0,81.6046511627907
84541,46.0,97.82608695652173,78.23913043478261
18402,113.0,98.23008849557522,85.26548672566372
104142,50.0,91.83673469387756,61.32
75655,120.0,99.16666666666667,93.58823529411765
24775,34.0,82.35294117647058,57.529411764705884
53380,144.0,100.0,89.00694444444444
74550,134.0,100.0,84.73134328358209
264713,10.0,100.0,80.5
87534,89.0,97.72727272727273,84.73033707865169
87456,87.0,100.0,78.08045977011494
89411,25.0,92.0,62.96
87710,131.0,97.6923076923077,80.04580152671755
90386,1.0,,
29087,22.0,95.45454545454545,79.68181818181819
48176,110.0,94.54545454545455,71.72727272727273
35289,116.0,100.0,86.8103448275862
38740,189.0,100.0,93.51595744680851
39228,173.0,100.0,95.30635838150289
91595,82.0,100.0,88.42682926829268
125788,8.0,75.0,54.5
131192,41.0,92.6829268292683,61.48780487804878
264878,30.0,100.0,93.76666666666667
87569,25.0,96.0,76.20833333333333
88775,26.0,100.0,73.6923076923077
86436,61.0,98.36065573770492,81.1639344262295
86437,84.0,98.80952380952381,82.58333333333333
80656,50.0,95.83333333333334,68.02
80388,118.0,100.0,89.12711864406779
82379,70.0,95.58823529411765,69.48571428571428
92329,26.0,100.0,90.1923076923077
84350,9.0,100.0,88.77777777777777
92325,5.0,40.0,40.0
82547,126.0,100.0,96.61904761904762
20508,111.0,100.0,92.75675675675676
92331,35.0,78.125,56.44117647058823
87302,2.0,,
130992,6.0,100.0,96.0
92114,2.0,,
133413,112.0,98.18181818181819,80.71428571428571
74025,57.0,98.24561403508771,78.29824561403508
74027,32.0,100.0,68.5625
66146,44.0,100.0,84.61363636363636
7843,29.0,100.0,76.51724137931035
268101,15.0,93.33333333333333,75.66666666666667
27799,49.0,87.75510204081633,67.14285714285714
106591,43.0,100.0,86.04651162790698
23129,141.0,100.0,90.85106382978724
15815,152.0,100.0,95.83552631578948
275512,7.0,80.0,39.57142857142857
38536,177.0,96.5909090909091,81.01694915254237
74129,7.0,85.71428571428571,61.57142857142857
23037,146.0,100.0,94.88356164383562
23038,129.0,100.0,94.27131782945736
23039,69.0,100.0,81.41176470588235
43471,53.0,98.07692307692307,70.39622641509433
43423,26.0,100.0,76.73076923076923
69452,24.0,87.5,54.916666666666664
70272,204.0,99.50980392156863,87.52450980392157
43482,134.0,100.0,93.67164179104478
123756,6.0,66.66666666666666,57.833333333333336
23971,26.0,96.0,73.8
23940,25.0,96.0,71.76
23983,26.0,96.15384615384616,78.6923076923077
23973,32.0,90.625,69.40625
47260,52.0,100.0,87.8076923076923
47276,23.0,100.0,92.0
80907,4.0,,
23975,170.0,100.0,93.57058823529412
29707,106.0,100.0,86.41509433962264
24002,47.0,93.47826086956522,67.06382978723404
23991,7.0,100.0,74.14285714285714
23981,67.0,94.02985074626866,78.17910447761194
29217,26.0,84.61538461538461,58.53846153846154
73284,57.0,91.22807017543859,62.68421052631579
30500,20.0,88.88888888888889,56.65
48633,24.0,95.83333333333334,77.625
73299,126.0,100.0,85.24
22830,145.0,100.0,93.04137931034482
83153,15.0,100.0,76.33333333333333
105506,125.0,100.0,90.616
114103,15.0,100.0,86.33333333333333
109285,50.0,98.0,84.04
107049,66.0,96.92307692307692,72.56060606060606
6163,38.0,100.0,88.57894736842105
115558,47.0,100.0,76.0
20816,10.0,70.0,52.5
8878,63.0,100.0,69.39682539682539
11273,38.0,83.78378378378379,55.421052631578945
11274,5.0,60.0,44.6
7254,196.0,99.48979591836735,86.39285714285714
21450,8.0,85.71428571428571,41.57142857142857
13483,5.0,60.0,58.0
268879,25.0,100.0,83.68
278890,24.0,95.83333333333334,63.083333333333336
7917,19.0,84.21052631578947,71.15789473684211
